"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","days_since_case100","days_since_death1"
"20","Afghanistan",2020-03-20,59,24,2,0,0,1,0,23,0.1,0,0.1,0,0
"36","Albania",2020-03-20,59,70,6,2,0,0,0,68,2.4,0.2,2.4,0,8
"62","Algeria",2020-03-20,59,90,3,11,2,32,0,47,0.2,0,0.1,0,9
"66","Andorra",2020-03-20,59,75,22,0,0,1,0,74,97.4,28.6,96.1,0,0
"83","Angola",2020-03-20,59,1,1,0,0,0,0,1,0,0,0,0,0
"91","Antigua and Barbuda",2020-03-20,59,1,0,0,0,0,0,1,1,0,1,0,0
"106","Argentina",2020-03-20,59,128,31,3,0,3,0,122,0.3,0.1,0.3,1,12
"113","Armenia",2020-03-20,59,136,21,0,0,1,0,135,4.6,0.7,4.6,1,0
"153","Australia",2020-03-20,59,791,110,7,1,26,0,758,3.1,0.4,3,4,9
"185","Austria",2020-03-20,59,2388,375,6,0,9,0,2373,26.5,4.2,26.3,1,1
"220","Azerbaijan",2020-03-20,59,44,0,1,0,6,0,37,0.4,0,0.4,0,4
"232","Bahrain",2020-03-20,59,285,7,1,0,100,0,184,16.7,0.4,10.8,2,2
"263","Bangladesh",2020-03-20,59,20,3,1,0,3,0,16,0,0,0,0,1
"271","Barbados",2020-03-20,59,5,0,0,0,0,0,5,1.7,0,1.7,0,0
"273","Belarus",2020-03-20,59,69,18,0,0,5,0,64,0.7,0.2,0.7,0,0
"296","Belgium",2020-03-20,59,2257,462,37,16,1,0,2219,19.5,4,19.1,1,1
"341","Benin",2020-03-20,59,2,0,0,0,0,0,2,0,0,0,0,0
"347","Bhutan",2020-03-20,59,2,1,0,0,0,0,2,0.3,0.1,0.3,0,0
"362","Bolivia",2020-03-20,59,15,3,0,0,0,0,15,0.1,0,0.1,0,0
"379","Bosnia and Herzegovina",2020-03-20,59,89,26,0,0,2,0,87,2.7,0.8,2.7,0,0
"399","Brazil",2020-03-20,59,793,172,11,5,2,0,780,0.4,0.1,0.4,4,3
"420","Brunei",2020-03-20,59,78,3,0,0,1,1,77,17.8,0.7,17.6,0,0
"425","Bulgaria",2020-03-20,59,127,33,3,0,0,0,124,1.8,0.5,1.8,1,2
"445","Burkina Faso",2020-03-20,59,40,7,1,0,0,0,39,0.2,0,0.2,0,3
"500","Cambodia",2020-03-20,59,51,14,0,0,1,0,50,0.3,0.1,0.3,0,0
"504","Cameroon",2020-03-20,59,20,7,0,0,0,0,20,0.1,0,0.1,0,0
"555","Canada",2020-03-20,59,943,143,12,3,9,0,922,2.5,0.4,2.4,5,7
"572","Central African Republic",2020-03-20,59,3,2,0,0,0,0,3,0.1,0,0.1,0,0
"577","Chad",2020-03-20,59,1,0,0,0,0,0,1,0,0,0,0,0
"588","Chile",2020-03-20,59,434,196,0,0,6,6,428,2.3,1,2.2,2,0
"600","Colombia",2020-03-20,59,128,26,0,0,1,0,127,0.3,0.1,0.2,1,0
"624","Costa Rica",2020-03-20,59,89,20,1,0,0,0,88,1.7,0.4,1.7,0,2
"630","Cote d'Ivoire",2020-03-20,59,9,0,0,0,1,0,8,0,0,0,0,0
"643","Croatia",2020-03-20,59,128,23,1,0,5,0,122,3.1,0.6,3,1,1
"665","Cuba",2020-03-20,59,16,5,1,0,0,0,15,0.1,0,0.1,0,3
"673","Cyprus",2020-03-20,59,67,0,0,0,0,0,67,5.6,0,5.6,0,0
"695","Czech Republic",2020-03-20,59,833,139,0,0,4,1,829,7.8,1.3,7.7,6,0
"708","Democratic Republic of the Congo",2020-03-20,59,18,4,0,0,0,0,18,0,0,0,0,0
"728","Denmark",2020-03-20,59,1337,112,9,3,1,0,1327,23.1,1.9,22.9,6,3
"755","Diamond Princess Cruise Ship",2020-03-20,59,712,0,7,0,325,0,380,NA,NA,NA,19,14
"779","Djibouti",2020-03-20,59,1,0,0,0,0,0,1,0.1,0,0.1,0,0
"791","Dominican Republic",2020-03-20,59,72,38,2,0,0,0,70,0.7,0.4,0.6,0,3
"805","Ecuador",2020-03-20,59,367,168,5,2,0,0,362,2.1,1,2.1,1,1
"833","Egypt",2020-03-20,59,285,29,8,2,39,7,238,0.3,0,0.2,2,4
"858","El Salvador",2020-03-20,59,1,0,0,0,0,0,1,0,0,0,0,0
"864","Equatorial Guinea",2020-03-20,59,6,0,0,0,0,0,6,0.4,0,0.4,0,0
"881","Estonia",2020-03-20,59,283,16,0,0,1,0,282,21.3,1.2,21.3,6,0
"889","Eswatini",2020-03-20,59,1,0,0,0,0,0,1,0.1,0,0.1,0,0
"901","Ethiopia",2020-03-20,59,9,3,0,0,0,0,9,0,0,0,0,0
"904","Fiji",2020-03-20,59,1,0,0,0,0,0,1,0.1,0,0.1,0,0
"929","Finland",2020-03-20,59,450,50,0,0,10,0,440,8.1,0.9,7.9,4,0
"1006","France",2020-03-20,59,12726,1779,450,207,12,0,12264,19.5,2.7,18.8,19,30
"1018","Gabon",2020-03-20,59,3,2,1,1,0,0,2,0.1,0.1,0.1,0,1
"1030","Georgia",2020-03-20,59,43,3,0,0,1,0,42,1.1,0.1,1.1,0,0
"1090","Germany",2020-03-20,59,19848,4528,67,23,180,67,19601,23.7,5.4,23.4,17,10
"1102","Ghana",2020-03-20,59,16,5,0,0,0,0,16,0.1,0,0.1,0,0
"1112","Greece",2020-03-20,59,495,77,6,0,19,11,470,4.7,0.7,4.5,4,4
"1134","Guatemala",2020-03-20,59,12,3,1,0,0,0,11,0.1,0,0.1,0,2
"1141","Guinea",2020-03-20,59,1,0,0,0,0,0,1,0,0,0,0,0
"1149","Guyana",2020-03-20,59,7,0,1,0,0,0,6,0.9,0,0.8,0,4
"1155","Haiti",2020-03-20,59,2,2,0,0,0,0,2,0,0,0,0,0
"1161","Holy See (Vatican City)",2020-03-20,59,1,0,0,0,0,0,1,100,0,100,0,0
"1173","Honduras",2020-03-20,59,24,12,0,0,0,0,24,0.2,0.1,0.2,0,0
"1215","Hong Kong",2020-03-20,59,256,48,4,0,98,3,154,3.4,0.6,2.1,15,28
"1249","Hungary",2020-03-20,59,85,12,3,2,2,0,80,0.9,0.1,0.8,0,6
"1269","Iceland",2020-03-20,59,409,79,0,0,5,0,404,119.9,23.2,118.5,5,0
"1301","India",2020-03-20,59,244,50,5,1,20,5,219,0,0,0,3,3
"1345","Indonesia",2020-03-20,59,369,58,32,7,15,4,322,0.1,0,0.1,6,9
"1378","Iran (Islamic Republic of)",2020-03-20,59,19644,1237,1433,149,6745,1035,11466,23.4,1.5,13.7,24,31
"1390","Iraq",2020-03-20,59,208,16,17,4,49,6,142,0.5,0,0.4,5,8
"1415","Ireland",2020-03-20,59,683,126,3,0,5,0,675,13.8,2.6,13.7,4,6
